*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=V1.0.0
*Date=10:52:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
112;;;68.7898;-7.83793;0;Bottom;Via34
113;;;29.1394;-3.97101;0;Bottom;TXT1
114;;;48.4699;-40.8579;0;Bottom;Via11
115;;;83.9356;-33.0497;0;Bottom;Hole7
116;;;66.2498;-12.9179;0;Bottom;Via45
117;;;17.9899;-20.5377;0;Bottom;Via27
118;;;63.7099;-40.8579;0;Bottom;Via6
119;;300 mil [THT];29.4452;-28.1579;180;Bottom;-     +
120;;;41.0037;-36.2546;-90;Bottom;TXT6
121;3V;;12.9098;-24.3479;0;Bottom;+5V
122;;;76.4098;-7.83793;0;Bottom;Via37
